box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-02-25 23:40 EST,2024-02-26 01:20 EST,1.0819,1.08248,21,105,5.8,18.1,1.6,2.52,5.22,21.57
2,2024-02-26 05:30 EST,2024-02-26 07:10 EST,1.08448,1.08545,21,105,9.7,10.82,4.4,2.33,9.65,12.59
