box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-03-27 22:15 EST,2024-03-27 23:30 EST,1.0821,1.08261,16,80,5.1,15.69,0.3,1.98,4.99,20.19
2,2024-03-27 23:55 EST,2024-03-28 01:10 EST,1.08204,1.08244,16,80,4.0,20.0,0.4,2.45,4.2,23.94
