box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-02-21 05:25 EST,2024-02-21 06:20 EST,1.07976,1.08034,12,60,5.8,10.34,0.2,1.88,7.45,14.5
2,2024-02-21 06:40 EST,2024-02-21 07:50 EST,1.07942,1.08024,15,75,8.2,9.15,1.5,2.24,7.96,12.81
