box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-02-20 01:20 EST,2024-02-20 02:20 EST,1.0769,1.07749,13,65,5.9,11.02,0.7,2.66,9.01,14.38
2,2024-02-20 06:10 EST,2024-02-20 07:15 EST,1.07936,1.08027,14,70,9.1,7.69,1.6,2.25,10.88,11.11
