box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-09-19 12:50 EST,2024-09-19 13:45 EST,1.11524,1.11604,12,60,8.0,7.5,1.5,2.12,11.09,10.47
2,2024-09-19 14:05 EST,2024-09-19 14:50 EST,1.11612,1.11679,10,50,6.7,7.46,2.7,2.25,13.67,9.18
