box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2022-04-25 17:55 EST,2022-04-25 18:50 EST,1.07098,1.0715,12,60,5.2,11.54,1.1,1.77,4.17,16.69
2,2022-04-25 23:05 EST,2022-04-26 00:00 EST,1.07312,1.07387,12,60,7.5,8.0,2.0,1.96,11.41,11.36
