label,n,median_max_extension_r_60m,hit_1r_rate_60m,hit_1_5r_rate_60m,median_realized_range_r_60m,median_bb_expand_ratio_60m,median_max_extension_r_120m,hit_1r_rate_120m,hit_1_5r_rate_120m,median_realized_range_r_120m,median_bb_expand_ratio_120m,first_break_count,headfake_rate_120m
compression,33,1.074,0.562,0.312,1.901,2.676,1.642,0.75,0.594,2.487,3.264,29,0.172
random_control,33,0.348,0.061,0.0,0.92,1.936,0.572,0.212,0.061,1.076,2.058,26,0.038
