sample,box,label,status,note,start_new_york,end_new_york,box_bars,box_duration_min,box_range_pips,box_bb_width_median,first_close_break_dir,first_close_break_min,first_1r_target_dir,first_1r_target_min,max_up_r_30m,max_down_r_30m,max_extension_r_30m,realized_range_r_30m,bb_expand_ratio_30m,hit_0.75r_30m,hit_1.00r_30m,hit_1.50r_30m,hit_2.00r_30m,max_up_r_60m,max_down_r_60m,max_extension_r_60m,realized_range_r_60m,bb_expand_ratio_60m,hit_0.75r_60m,hit_1.00r_60m,hit_1.50r_60m,hit_2.00r_60m,max_up_r_90m,max_down_r_90m,max_extension_r_90m,realized_range_r_90m,bb_expand_ratio_90m,hit_0.75r_90m,hit_1.00r_90m,hit_1.50r_90m,hit_2.00r_90m,max_up_r_120m,max_down_r_120m,max_extension_r_120m,realized_range_r_120m,bb_expand_ratio_120m,hit_0.75r_120m,hit_1.00r_120m,hit_1.50r_120m,hit_2.00r_120m,dominant_dir_120m,first_break_headfake_120m
50,3,random_control,accepted,same-window random duration control,2023-11-29 09:35 EST,2023-11-29 10:15 EST,9,45,29.1,37.11,,,,,0.0,0.065,0.065,0.302,2.275,False,False,False,False,0.0,0.065,0.065,0.605,2.275,False,False,False,False,0.0,0.065,0.065,0.605,2.275,False,False,False,False,0.0,0.065,0.065,0.605,2.275,False,False,False,False,down,False
50,4,random_control,accepted,same-window random duration control,2023-11-29 08:30 EST,2023-11-29 09:00 EST,7,35,29.7,26.93,down,80.0,,,0.0,0.111,0.111,0.764,1.8,False,False,False,False,0.0,0.111,0.111,0.983,1.871,False,False,False,False,0.0,0.172,0.172,1.044,3.135,False,False,False,False,0.0,0.172,0.172,1.044,3.135,False,False,False,False,down,False
51,1,compression,accepted,user said fine,2024-02-07 14:00 EST,2024-02-07 14:55 EST,12,60,5.4,7.45,,,,,0.0,0.0,0.0,0.611,0.992,False,False,False,False,0.0,0.0,0.0,0.648,0.992,False,False,False,False,0.0,0.0,0.0,0.685,1.3,False,False,False,False,0.0,0.0,0.0,0.741,1.3,False,False,False,False,,False
51,2,compression,accepted,user said fine,2024-02-07 17:25 EST,2024-02-07 18:10 EST,10,50,3.8,4.85,up,10.0,,,0.316,0.0,0.316,0.868,1.86,False,False,False,False,0.316,0.0,0.316,0.868,1.86,False,False,False,False,0.947,0.0,0.947,1.5,1.86,True,False,False,False,0.974,0.0,0.974,1.526,1.86,True,False,False,False,up,False
51,3,compression,accepted,user said fine,2024-02-07 19:30 EST,2024-02-07 20:25 EST,12,60,3.9,3.84,up,35.0,up,75.0,0.077,0.051,0.077,1.128,1.782,False,False,False,False,0.897,0.051,0.897,1.949,3.286,True,False,False,False,1.0,0.051,1.0,2.051,3.286,True,True,False,False,1.385,0.051,1.385,2.436,3.286,True,True,False,False,up,False
51,4,compression,accepted,user said fine,2024-02-07 23:50 EST,2024-02-08 00:20 EST,7,35,4.4,10.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
51,1,random_control,accepted,same-window random duration control,2024-02-07 20:55 EST,2024-02-07 21:50 EST,12,60,5.7,5.49,up,35.0,,,0.105,0.0,0.105,0.298,0.548,False,False,False,False,0.263,0.0,0.263,0.509,1.556,False,False,False,False,0.877,0.0,0.877,1.193,1.917,True,False,False,False,0.877,0.0,0.877,1.298,2.174,True,False,False,False,up,False
51,2,random_control,accepted,same-window random duration control,2024-02-07 21:05 EST,2024-02-07 21:50 EST,10,50,2.8,5.15,up,35.0,up,85.0,0.214,0.0,0.214,0.607,0.585,False,False,False,False,0.536,0.0,0.536,1.036,1.66,False,False,False,False,1.786,0.0,1.786,2.429,2.045,True,True,True,False,1.786,0.0,1.786,2.643,2.319,True,True,True,False,up,False
51,3,random_control,accepted,same-window random duration control,2024-02-07 12:40 EST,2024-02-07 13:35 EST,12,60,11.4,8.51,,,,,0.0,0.0,0.0,0.658,2.221,False,False,False,False,0.079,0.0,0.079,0.754,2.221,False,False,False,False,0.14,0.0,0.14,0.816,2.221,False,False,False,False,0.14,0.0,0.14,0.816,2.221,False,False,False,False,up,False
51,4,random_control,accepted,same-window random duration control,2024-02-07 21:05 EST,2024-02-07 21:35 EST,7,35,2.4,5.27,up,45.0,up,100.0,0.167,0.0,0.167,0.5,1.124,False,False,False,False,0.792,0.0,0.792,1.125,1.188,True,False,False,False,0.792,0.0,0.792,1.375,1.621,True,False,False,False,2.25,0.0,2.25,2.833,1.997,True,True,True,True,up,False
52,1,compression,accepted,good,2024-11-26 02:15 EST,2024-11-26 02:40 EST,6,30,12.4,18.03,down,30.0,up,80.0,0.0,0.258,0.258,1.202,1.654,False,False,False,False,0.258,0.258,0.258,1.516,2.438,False,False,False,False,2.718,0.258,2.718,3.976,4.054,True,True,True,True,2.718,0.258,2.718,3.976,4.054,True,True,True,True,up,True
52,2,compression,accepted,good,2024-11-26 05:20 EST,2024-11-26 06:15 EST,12,60,11.9,14.95,down,5.0,up,60.0,0.008,0.336,0.336,1.345,2.738,False,False,False,False,2.008,0.336,2.008,3.345,4.901,True,True,True,True,2.008,0.336,2.008,3.345,5.498,True,True,True,True,2.008,0.336,2.008,3.345,5.498,True,True,True,True,up,True
52,3,compression,rejected,stubby pause inside active directional leg,2024-11-26 09:45 EST,2024-11-26 10:10 EST,6,30,13.8,12.43,down,10.0,down,45.0,0.0,0.812,0.812,1.435,4.141,True,False,False,False,0.0,2.217,2.217,2.841,4.561,True,True,True,True,0.0,2.377,2.377,3.0,4.561,True,True,True,True,0.0,2.377,2.377,3.0,4.561,True,True,True,True,down,False
52,4,compression,accepted,good,2024-11-26 12:15 EST,2024-11-26 13:10 EST,12,60,10.3,17.73,down,15.0,,,0.0,0.68,0.68,1.417,1.958,False,False,False,False,0.0,0.68,0.68,1.456,1.958,False,False,False,False,0.0,0.68,0.68,1.456,1.958,False,False,False,False,0.0,0.68,0.68,1.456,1.958,False,False,False,False,down,False
52,1,random_control,accepted,same-window random duration control,2024-11-26 08:00 EST,2024-11-26 08:25 EST,6,30,25.7,33.68,down,35.0,,,0.0,0.047,0.047,0.626,1.571,False,False,False,False,0.0,0.444,0.444,1.023,1.571,False,False,False,False,0.0,0.444,0.444,1.023,1.571,False,False,False,False,0.0,0.572,0.572,1.152,1.571,False,False,False,False,down,False
52,2,random_control,accepted,same-window random duration control,2024-11-26 08:30 EST,2024-11-26 09:25 EST,12,60,26.3,33.46,down,60.0,,,0.0,0.0,0.0,0.494,1.041,False,False,False,False,0.0,0.125,0.125,0.901,1.459,False,False,False,False,0.0,0.426,0.426,1.202,1.539,False,False,False,False,0.0,0.996,0.996,1.772,1.695,True,False,False,False,down,False
52,4,random_control,accepted,same-window random duration control,2024-11-26 07:45 EST,2024-11-26 08:40 EST,12,60,38.1,36.19,down,25.0,,,0.0,0.268,0.268,0.69,1.389,False,False,False,False,0.0,0.268,0.268,0.69,1.389,False,False,False,False,0.0,0.268,0.268,0.69,1.389,False,False,False,False,0.0,0.388,0.388,0.811,1.423,False,False,False,False,down,False
53,1,compression,accepted,correct,2025-06-24 22:50 EST,2025-06-24 23:40 EST,11,55,5.7,8.7,down,5.0,down,15.0,0.0,1.105,1.105,1.702,3.364,True,True,False,False,0.0,1.105,1.105,1.702,3.364,True,True,False,False,0.0,1.105,1.105,1.702,3.364,True,True,False,False,0.0,1.456,1.456,2.053,3.364,True,True,False,False,down,False
53,2,compression,accepted,correct,2025-06-25 00:15 EST,2025-06-25 01:10 EST,12,60,6.1,6.62,down,10.0,down,105.0,0.131,0.41,0.41,1.541,3.493,False,False,False,False,0.393,0.41,0.41,1.803,3.493,False,False,False,False,0.77,0.41,0.77,2.18,3.493,True,False,False,False,0.77,1.951,1.951,3.721,5.234,True,True,True,False,down,False
53,3,compression,rejected,pause inside active upswing,2025-06-25 06:30 EST,2025-06-25 07:00 EST,7,35,6.9,10.86,up,5.0,down,90.0,0.71,0.0,0.71,1.623,2.453,False,False,False,False,0.71,0.696,0.71,2.406,2.453,False,False,False,False,0.71,1.275,1.275,2.986,2.453,True,True,False,False,0.71,1.652,1.652,3.362,2.453,True,True,True,False,down,True
53,4,compression,accepted,correct,2025-06-25 07:40 EST,2025-06-25 08:20 EST,9,45,8.6,11.25,down,5.0,,,0.0,0.744,0.744,1.128,1.866,False,False,False,False,0.0,0.744,0.744,1.465,1.992,False,False,False,False,0.291,0.744,0.744,2.035,2.208,False,False,False,False,0.291,0.744,0.744,2.035,2.208,False,False,False,False,down,False
53,1,random_control,accepted,same-window random duration control,2025-06-25 04:55 EST,2025-06-25 05:45 EST,11,55,19.2,19.53,,,,,0.0,0.0,0.0,0.656,1.12,False,False,False,False,0.0,0.0,0.0,0.729,1.318,False,False,False,False,0.104,0.0,0.104,1.0,1.364,False,False,False,False,0.104,0.0,0.104,1.0,1.364,False,False,False,False,up,False
53,2,random_control,accepted,same-window random duration control,2025-06-25 02:05 EST,2025-06-25 03:00 EST,12,60,21.3,13.46,down,50.0,,,0.0,0.066,0.066,0.408,2.482,False,False,False,False,0.0,0.531,0.531,0.901,3.167,False,False,False,False,0.0,0.531,0.531,0.901,3.167,False,False,False,False,0.0,0.531,0.531,1.0,3.167,False,False,False,False,down,False
53,4,random_control,accepted,same-window random duration control,2025-06-25 02:35 EST,2025-06-25 03:15 EST,9,45,20.0,19.97,down,35.0,,,0.0,0.0,0.0,0.405,0.72,False,False,False,False,0.0,0.495,0.495,0.96,2.135,False,False,False,False,0.0,0.495,0.495,0.96,2.135,False,False,False,False,0.0,0.495,0.495,1.065,2.135,False,False,False,False,down,False
54,1,compression,accepted,all correct,2024-02-07 05:40 EST,2024-02-07 06:20 EST,9,45,8.5,13.67,up,10.0,,,0.271,0.0,0.271,0.706,1.628,False,False,False,False,0.376,0.0,0.376,0.906,1.628,False,False,False,False,0.376,0.0,0.376,0.941,1.628,False,False,False,False,0.976,0.0,0.976,1.541,1.628,True,False,False,False,up,False
54,2,compression,accepted,all correct,2024-02-07 06:40 EST,2024-02-07 07:35 EST,12,60,8.0,8.49,up,25.0,up,50.0,0.313,0.0,0.313,1.075,1.898,False,False,False,False,1.238,0.0,1.238,2.0,2.555,True,True,False,False,1.238,0.0,1.238,2.163,5.06,True,True,False,False,1.238,0.075,1.238,2.313,5.06,True,True,False,False,up,False
54,3,compression,accepted,all correct,2024-02-07 12:10 EST,2024-02-07 12:55 EST,10,50,6.4,9.76,up,10.0,up,15.0,1.266,0.0,1.266,1.469,2.677,True,True,False,False,1.266,0.0,1.266,1.469,2.677,True,True,False,False,1.328,0.0,1.328,1.531,2.677,True,True,False,False,1.516,0.0,1.516,1.719,2.677,True,True,True,False,up,False
54,4,compression,accepted,all correct,2024-02-07 14:00 EST,2024-02-07 14:55 EST,12,60,5.4,7.45,,,,,0.0,0.0,0.0,0.611,0.992,False,False,False,False,0.0,0.0,0.0,0.648,0.992,False,False,False,False,0.0,0.0,0.0,0.685,1.3,False,False,False,False,0.0,0.0,0.0,0.741,1.3,False,False,False,False,,False
54,1,random_control,accepted,same-window random duration control,2024-02-07 09:45 EST,2024-02-07 10:25 EST,9,45,11.8,20.32,down,25.0,,,0.322,0.729,0.729,2.051,3.019,False,False,False,False,0.322,0.729,0.729,2.051,3.019,False,False,False,False,0.322,0.729,0.729,2.051,3.019,False,False,False,False,0.322,0.729,0.729,2.051,3.019,False,False,False,False,down,False
54,2,random_control,accepted,same-window random duration control,2024-02-07 09:10 EST,2024-02-07 10:05 EST,12,60,13.4,20.43,down,50.0,,,0.0,0.0,0.0,0.896,1.143,False,False,False,False,0.164,0.642,0.642,1.806,3.004,False,False,False,False,0.164,0.642,0.642,1.806,3.004,False,False,False,False,0.164,0.642,0.642,1.806,3.004,False,False,False,False,down,False
