sample,box,status,note,box_start_new_york,box_end_new_york,box_range_pips,entry_rule,stop_r,target_r,target_mode,trade_status,direction,signal_time_new_york,signal_minutes_after_box,entry_price,box_break_buffer_pips,stop_price,target_price,risk_pips,reward_pips,outcome,exit_time_new_york,exit_price,gross_pips,net_pips,net_r_vs_box,net_risk_r,spread_pips_round_turn
49,1,accepted,all boxes fine,2022-02-28 19:10 EST,2022-02-28 19:40 EST,5.1,first_close_breakout,1.0,1.0,entry_r,filled,short,2022-02-28 19:45 EST,5.0,1.12058,0.51,1.12109,1.12007,5.1,5.1,stop,2022-02-28 19:50 EST,1.12109,-5.1,-6.3,-1.235,-1.235,1.2
49,2,accepted,all boxes fine,2022-02-28 21:30 EST,2022-02-28 22:00 EST,3.9,first_close_breakout,1.0,1.0,entry_r,filled,long,2022-02-28 22:05 EST,5.0,1.12,0.5,1.11961,1.12039,3.9,3.9,stop,2022-02-28 22:10 EST,1.11961,-3.9,-5.1,-1.308,-1.308,1.2
49,3,accepted,all boxes fine,2022-02-28 23:20 EST,2022-02-28 23:55 EST,4.8,first_close_breakout,1.0,1.0,entry_r,filled,long,2022-03-01 00:00 EST,5.0,1.12018,0.5,1.1197,1.12066,4.8,4.8,stop,2022-03-01 00:35 EST,1.1197,-4.8,-6.0,-1.25,-1.25,1.2
49,4,accepted,all boxes fine,2022-03-01 00:35 EST,2022-03-01 01:30 EST,7.6,first_close_breakout,1.0,1.0,entry_r,filled,long,2022-03-01 01:40 EST,10.0,1.12029,0.76,1.11953,1.12105,7.6,7.6,target,2022-03-01 02:05 EST,1.12105,7.6,6.4,0.842,0.842,1.2
50,1,accepted,all four good,2023-11-29 05:40 EST,2023-11-29 06:25 EST,6.9,first_close_breakout,1.0,1.0,entry_r,filled,long,2023-11-29 06:35 EST,10.0,1.09797,0.69,1.09728,1.09866,6.9,6.9,target,2023-11-29 07:15 EST,1.09866,6.9,5.7,0.826,0.826,1.2
50,2,accepted,all four good,2023-11-29 07:25 EST,2023-11-29 08:05 EST,7.4,first_close_breakout,1.0,1.0,entry_r,filled,short,2023-11-29 08:35 EST,30.0,1.09754,0.74,1.09828,1.0968,7.4,7.4,target,2023-11-29 09:00 EST,1.0968,7.4,6.2,0.838,0.838,1.2
50,3,accepted,all four good,2023-11-29 11:10 EST,2023-11-29 11:50 EST,8.7,first_close_breakout,1.0,1.0,entry_r,filled,long,2023-11-29 12:05 EST,15.0,1.09748,0.87,1.09661,1.09835,8.7,8.7,target,2023-11-29 13:45 EST,1.09835,8.7,7.5,0.862,0.862,1.2
50,4,accepted,all four good,2023-11-29 12:10 EST,2023-11-29 12:40 EST,4.7,first_close_breakout,1.0,1.0,entry_r,filled,long,2023-11-29 13:00 EST,20.0,1.09795,0.5,1.09748,1.09842,4.7,4.7,stop,2023-11-29 13:05 EST,1.09748,-4.7,-5.9,-1.255,-1.255,1.2
51,1,accepted,user said fine,2024-02-07 14:00 EST,2024-02-07 14:55 EST,5.4,first_close_breakout,1.0,1.0,entry_r,no_signal,,,,,,,,,,,,,,,,,
51,2,accepted,user said fine,2024-02-07 17:25 EST,2024-02-07 18:10 EST,3.8,first_close_breakout,1.0,1.0,entry_r,filled,long,2024-02-07 18:20 EST,10.0,1.07766,0.5,1.07728,1.07804,3.8,3.8,time_exit,2024-02-07 20:10 EST,1.07778,1.2,-0.0,-0.0,-0.0,1.2
