box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,bb_width_median
1,2024-02-01 02:20 EST,2024-02-01 02:45 EST,1.0784,1.07895,6,30,5.5,5.45,1.0,18.16
2,2024-02-01 04:45 EST,2024-02-01 05:45 EST,1.07942,1.0803,13,65,8.8,7.39,0.2,11.75
