box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-10-03 23:55 EST,2024-10-04 00:50 EST,1.10254,1.103,12,60,4.6,13.04,2.0,1.63,5.54,16.52
2,2024-10-04 05:55 EST,2024-10-04 06:30 EST,1.10256,1.10298,8,40,4.2,9.52,1.8,0.76,3.71,13.5
