label,start_new_york,end_new_york,low,high,bars,range_pips,bb_width_median
A,2024-02-09 01:05 EST,2024-02-09 01:45 EST,1.077,1.07752,9,5.20000000000076,3.052605444704426
B,2024-02-09 02:15 EST,2024-02-09 03:05 EST,1.07755,1.07842,11,8.699999999999264,8.830492624452013
C,2024-02-09 04:55 EST,2024-02-09 06:35 EST,1.07622,1.07708,21,8.60000000000083,9.883804935606475
D,2024-02-09 06:45 EST,2024-02-09 08:20 EST,1.0763,1.07766,20,13.600000000000279,10.829291993375012
E,2024-02-09 09:55 EST,2024-02-09 11:45 EST,1.078,1.079,23,9.999999999998899,11.336313332614978
F,2024-02-09 11:55 EST,2024-02-09 13:00 EST,1.07792,1.07868,13,7.600000000000939,8.86521291211917
