sample,box,status,note,box_start_new_york,box_end_new_york,box_range_pips,entry_rule,stop_r,target_r,target_mode,trade_status,direction,signal_time_new_york,signal_minutes_after_box,entry_price,box_break_buffer_pips,stop_price,target_price,risk_pips,reward_pips,outcome,exit_time_new_york,exit_price,gross_pips,net_pips,net_r_vs_box,net_risk_r,spread_pips_round_turn
49,1,accepted,all boxes fine,2022-02-28 19:10 EST,2022-02-28 19:40 EST,5.1,first_close_breakout,2.75,1.0,entry_r,filled,short,2022-02-28 19:45 EST,5.0,1.12058,0.51,1.12198,1.12007,14.02,5.1,target,2022-02-28 21:10 EST,1.12007,5.1,3.9,0.765,0.278,1.2
49,2,accepted,all boxes fine,2022-02-28 21:30 EST,2022-02-28 22:00 EST,3.9,first_close_breakout,2.75,1.0,entry_r,filled,long,2022-02-28 22:05 EST,5.0,1.12,0.5,1.11893,1.12039,10.72,3.9,time_exit,2022-03-01 00:00 EST,1.12018,1.8,0.6,0.154,0.056,1.2
49,3,accepted,all boxes fine,2022-02-28 23:20 EST,2022-02-28 23:55 EST,4.8,first_close_breakout,2.75,1.0,entry_r,filled,long,2022-03-01 00:00 EST,5.0,1.12018,0.5,1.11886,1.12066,13.2,4.8,target,2022-03-01 01:45 EST,1.12066,4.8,3.6,0.75,0.273,1.2
49,4,accepted,all boxes fine,2022-03-01 00:35 EST,2022-03-01 01:30 EST,7.6,first_close_breakout,2.75,1.0,entry_r,filled,long,2022-03-01 01:40 EST,10.0,1.12029,0.76,1.1182,1.12105,20.9,7.6,target,2022-03-01 02:05 EST,1.12105,7.6,6.4,0.842,0.306,1.2
50,1,accepted,all four good,2023-11-29 05:40 EST,2023-11-29 06:25 EST,6.9,first_close_breakout,2.75,1.0,entry_r,filled,long,2023-11-29 06:35 EST,10.0,1.09797,0.69,1.09607,1.09866,18.97,6.9,target,2023-11-29 07:15 EST,1.09866,6.9,5.7,0.826,0.3,1.2
50,2,accepted,all four good,2023-11-29 07:25 EST,2023-11-29 08:05 EST,7.4,first_close_breakout,2.75,1.0,entry_r,filled,short,2023-11-29 08:35 EST,30.0,1.09754,0.74,1.09957,1.0968,20.35,7.4,target,2023-11-29 09:00 EST,1.0968,7.4,6.2,0.838,0.305,1.2
50,3,accepted,all four good,2023-11-29 11:10 EST,2023-11-29 11:50 EST,8.7,first_close_breakout,2.75,1.0,entry_r,filled,long,2023-11-29 12:05 EST,15.0,1.09748,0.87,1.09509,1.09835,23.93,8.7,target,2023-11-29 13:45 EST,1.09835,8.7,7.5,0.862,0.313,1.2
50,4,accepted,all four good,2023-11-29 12:10 EST,2023-11-29 12:40 EST,4.7,first_close_breakout,2.75,1.0,entry_r,filled,long,2023-11-29 13:00 EST,20.0,1.09795,0.5,1.09666,1.09842,12.92,4.7,target,2023-11-29 13:50 EST,1.09842,4.7,3.5,0.745,0.271,1.2
51,1,accepted,user said fine,2024-02-07 14:00 EST,2024-02-07 14:55 EST,5.4,first_close_breakout,2.75,1.0,entry_r,no_signal,,,,,,,,,,,,,,,,,
51,2,accepted,user said fine,2024-02-07 17:25 EST,2024-02-07 18:10 EST,3.8,first_close_breakout,2.75,1.0,entry_r,filled,long,2024-02-07 18:20 EST,10.0,1.07766,0.5,1.07661,1.07804,10.45,3.8,time_exit,2024-02-07 20:10 EST,1.07778,1.2,-0.0,-0.0,-0.0,1.2
51,3,accepted,user said fine,2024-02-07 19:30 EST,2024-02-07 20:25 EST,3.9,first_close_breakout,2.75,1.0,entry_r,filled,long,2024-02-07 21:00 EST,35.0,1.07814,0.5,1.07707,1.07853,10.72,3.9,time_exit,2024-02-07 22:25 EST,1.07849,3.5,2.3,0.59,0.214,1.2
51,4,accepted,user said fine,2024-02-07 23:50 EST,2024-02-08 00:20 EST,4.4,first_close_breakout,2.75,1.0,entry_r,no_signal,,,,,,,,,,,,,,,,,
52,1,accepted,good,2024-11-26 02:15 EST,2024-11-26 02:40 EST,12.4,first_close_breakout,2.75,1.0,entry_r,filled,short,2024-11-26 03:10 EST,30.0,1.04719,1.24,1.0506,1.04595,34.1,12.4,stop,2024-11-26 04:00 EST,1.0506,-34.1,-35.3,-2.847,-1.035,1.2
52,2,accepted,good,2024-11-26 05:20 EST,2024-11-26 06:15 EST,11.9,first_close_breakout,2.75,1.0,entry_r,filled,short,2024-11-26 06:20 EST,5.0,1.05054,1.19,1.05381,1.04935,32.73,11.9,stop,2024-11-26 07:15 EST,1.05381,-32.73,-33.93,-2.851,-1.037,1.2
52,4,accepted,good,2024-11-26 12:15 EST,2024-11-26 13:10 EST,10.3,first_close_breakout,2.75,1.0,entry_r,filled,short,2024-11-26 13:25 EST,15.0,1.0462,1.03,1.04903,1.04517,28.33,10.3,time_exit,2024-11-26 14:00 EST,1.0471,-9.0,-10.2,-0.99,-0.36,1.2
53,1,accepted,correct,2025-06-24 22:50 EST,2025-06-24 23:40 EST,5.7,first_close_breakout,2.75,1.0,entry_r,filled,short,2025-06-24 23:45 EST,5.0,1.16163,0.57,1.1632,1.16106,15.67,5.7,target,2025-06-25 01:20 EST,1.16106,5.7,4.5,0.789,0.287,1.2
53,2,accepted,correct,2025-06-25 00:15 EST,2025-06-25 01:10 EST,6.1,first_close_breakout,2.75,1.0,entry_r,filled,short,2025-06-25 01:20 EST,10.0,1.1611,0.61,1.16278,1.16049,16.77,6.1,target,2025-06-25 02:55 EST,1.16049,6.1,4.9,0.803,0.292,1.2
53,4,accepted,correct,2025-06-25 07:40 EST,2025-06-25 08:20 EST,8.6,first_close_breakout,2.75,1.0,entry_r,filled,short,2025-06-25 08:25 EST,5.0,1.15957,0.86,1.16194,1.15871,23.65,8.6,time_exit,2025-06-25 09:45 EST,1.15999,-4.2,-5.4,-0.628,-0.228,1.2
