stop_r,target_r,target_mode,boxes_tested,signals,targets,stops,time_exits,win_rate,positive_net_trades,negative_net_trades,positive_net_rate,gross_pips_total,gross_pips_avg,net_pips_total,net_pips_avg,net_risk_r_avg,profit_factor_net_pips
0.25,1.0,box_extension_r,33,29,12,17,0,0.414,12,17,0.414,16.4,0.57,-18.4,-0.63,-0.332,0.643
0.5,1.0,box_extension_r,33,29,15,14,0,0.517,15,14,0.517,10.95,0.38,-23.85,-0.82,-0.259,0.638
0.75,1.0,box_extension_r,33,29,17,11,1,0.586,18,11,0.621,14.41,0.5,-20.39,-0.7,-0.131,0.719
1.0,1.0,box_extension_r,33,29,17,10,2,0.586,18,10,0.621,-0.4,-0.01,-35.2,-1.21,-0.148,0.597
1.25,1.0,box_extension_r,33,29,17,8,4,0.586,18,10,0.621,-13.86,-0.48,-48.66,-1.68,-0.171,0.518
1.5,1.0,box_extension_r,33,29,17,7,5,0.586,18,10,0.621,-19.55,-0.67,-54.35,-1.87,-0.166,0.49
2.0,1.0,box_extension_r,33,29,21,3,5,0.724,22,6,0.759,11.2,0.39,-23.6,-0.81,-0.001,0.722
