box,start_new_york,end_new_york,low,high,bars,range_pips,progress_pips,bb_width_median
1,2024-02-09 03:45 EST,2024-02-09 04:30 EST,1.07695,1.0777,10,7.5,0.4,13.3
2,2024-02-09 05:10 EST,2024-02-09 06:15 EST,1.07622,1.07702,14,8.0,2.4,11.95
