box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-03-04 10:20 EST,2024-03-04 10:55 EST,1.0858,1.08637,8,40,5.7,7.02,0.2,0.84,7.72,10.37
2,2024-03-04 12:45 EST,2024-03-04 13:35 EST,1.0856,1.08608,11,55,4.8,11.46,1.3,1.87,5.1,14.71
