box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-02-07 22:20 EST,2024-02-07 23:35 EST,1.07816,1.07884,16,80,6.8,11.76,1.3,1.96,7.68,15.65
2,2024-02-08 00:30 EST,2024-02-08 01:35 EST,1.07797,1.07847,14,70,5.0,14.0,0.6,2.76,6.19,17.93
