label,start_new_york,end_new_york,low,high,bars,bb_width_median
A,2024-02-07 02:35 EST,2024-02-07 03:00 EST,1.07672,1.07736,6,6.688402008181438
B,2024-02-07 03:30 EST,2024-02-07 04:25 EST,1.0758,1.07654,12,9.709204002166238
C,2024-02-07 04:45 EST,2024-02-07 05:45 EST,1.07638,1.07712,13,9.4386439699079
D,2024-02-07 06:25 EST,2024-02-07 07:45 EST,1.07661,1.07741,17,9.24129860938372
E,2024-02-07 09:05 EST,2024-02-07 10:45 EST,1.07644,1.078,21,19.455631575033827
F,2024-02-07 11:25 EST,2024-02-07 12:35 EST,1.07593,1.07713,15,15.31660536792323
G,2024-02-07 13:10 EST,2024-02-07 14:25 EST,1.07661,1.07742,16,12.821144263710504
