label,start_new_york,end_new_york,low,high,bars,range_pips,bb_width_median
A,2024-02-22 21:45 EST,2024-02-22 22:35 EST,1.08226,1.08286,11,5.999999999999339,7.815471834820009
B,2024-02-22 22:45 EST,2024-02-23 00:15 EST,1.08243,1.08286,19,4.299999999999304,4.746367031738252
C,2024-02-23 00:35 EST,2024-02-23 01:25 EST,1.08212,1.08276,11,6.399999999999739,9.35144908558616
D,2024-02-23 02:20 EST,2024-02-23 03:25 EST,1.08243,1.08326,14,8.299999999998864,10.32588376525867
E,2024-02-23 04:45 EST,2024-02-23 05:25 EST,1.08142,1.08244,9,10.200000000000209,14.851585773696383
F,2024-02-23 06:35 EST,2024-02-23 07:20 EST,1.08246,1.08314,10,6.800000000000139,7.970862631336839
G,2024-02-23 08:10 EST,2024-02-23 09:00 EST,1.08268,1.08368,11,9.999999999998899,12.855878033328771
