box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-02-21 19:45 EST,2024-02-21 20:50 EST,1.08269,1.0832,14,70,5.1,13.73,2.0,2.51,7.05,16.21
2,2024-02-21 22:10 EST,2024-02-21 23:20 EST,1.08232,1.08277,15,75,4.5,16.67,0.8,2.09,5.22,20.33
