box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-02-04 22:10 EST,2024-02-04 23:25 EST,1.07746,1.0781,16,80,6.4,12.5,2.0,2.59,8.63,15.48
2,2024-02-04 23:55 EST,2024-02-05 00:50 EST,1.07733,1.07796,12,60,6.3,9.52,0.5,2.71,9.93,12.69
