sample,box,status,note,box_start_new_york,box_end_new_york,box_range_pips,entry_rule,stop_r,target_r,target_mode,trade_status,direction,signal_time_new_york,signal_minutes_after_box,entry_price,box_break_buffer_pips,stop_price,target_price,risk_pips,reward_pips,outcome,exit_time_new_york,exit_price,gross_pips,net_pips,net_r_vs_box,net_risk_r,spread_pips_round_turn
49,1,accepted,all boxes fine,2022-02-28 19:10 EST,2022-02-28 19:40 EST,5.1,first_close_breakout,0.25,1.0,entry_r,filled,short,2022-02-28 19:45 EST,5.0,1.12058,0.51,1.12071,1.12007,1.28,5.1,stop,2022-02-28 19:50 EST,1.12071,-1.28,-2.48,-0.485,-1.941,1.2
49,2,accepted,all boxes fine,2022-02-28 21:30 EST,2022-02-28 22:00 EST,3.9,first_close_breakout,0.25,1.0,entry_r,filled,long,2022-02-28 22:05 EST,5.0,1.12,0.5,1.1199,1.12039,0.97,3.9,stop,2022-02-28 22:10 EST,1.1199,-0.97,-2.17,-0.558,-2.231,1.2
49,3,accepted,all boxes fine,2022-02-28 23:20 EST,2022-02-28 23:55 EST,4.8,first_close_breakout,0.25,1.0,entry_r,filled,long,2022-03-01 00:00 EST,5.0,1.12018,0.5,1.12006,1.12066,1.2,4.8,stop,2022-03-01 00:05 EST,1.12006,-1.2,-2.4,-0.5,-2.0,1.2
49,4,accepted,all boxes fine,2022-03-01 00:35 EST,2022-03-01 01:30 EST,7.6,first_close_breakout,0.25,1.0,entry_r,filled,long,2022-03-01 01:40 EST,10.0,1.12029,0.76,1.1201,1.12105,1.9,7.6,target,2022-03-01 02:05 EST,1.12105,7.6,6.4,0.842,3.368,1.2
50,1,accepted,all four good,2023-11-29 05:40 EST,2023-11-29 06:25 EST,6.9,first_close_breakout,0.25,1.0,entry_r,filled,long,2023-11-29 06:35 EST,10.0,1.09797,0.69,1.0978,1.09866,1.72,6.9,target,2023-11-29 07:15 EST,1.09866,6.9,5.7,0.826,3.304,1.2
50,2,accepted,all four good,2023-11-29 07:25 EST,2023-11-29 08:05 EST,7.4,first_close_breakout,0.25,1.0,entry_r,filled,short,2023-11-29 08:35 EST,30.0,1.09754,0.74,1.09773,1.0968,1.85,7.4,stop,2023-11-29 08:45 EST,1.09773,-1.85,-3.05,-0.412,-1.649,1.2
50,3,accepted,all four good,2023-11-29 11:10 EST,2023-11-29 11:50 EST,8.7,first_close_breakout,0.25,1.0,entry_r,filled,long,2023-11-29 12:05 EST,15.0,1.09748,0.87,1.09726,1.09835,2.17,8.7,stop,2023-11-29 13:15 EST,1.09726,-2.17,-3.37,-0.388,-1.552,1.2
50,4,accepted,all four good,2023-11-29 12:10 EST,2023-11-29 12:40 EST,4.7,first_close_breakout,0.25,1.0,entry_r,filled,long,2023-11-29 13:00 EST,20.0,1.09795,0.5,1.09783,1.09842,1.17,4.7,stop,2023-11-29 13:05 EST,1.09783,-1.17,-2.37,-0.505,-2.021,1.2
51,1,accepted,user said fine,2024-02-07 14:00 EST,2024-02-07 14:55 EST,5.4,first_close_breakout,0.25,1.0,entry_r,no_signal,,,,,,,,,,,,,,,,,
51,2,accepted,user said fine,2024-02-07 17:25 EST,2024-02-07 18:10 EST,3.8,first_close_breakout,0.25,1.0,entry_r,filled,long,2024-02-07 18:20 EST,10.0,1.07766,0.5,1.07757,1.07804,0.95,3.8,stop,2024-02-07 18:30 EST,1.07757,-0.95,-2.15,-0.566,-2.263,1.2
