box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2023-06-08 12:20 EST,2023-06-08 13:15 EST,1.07796,1.07872,12,60,7.6,7.89,0.2,2.08,11.74,11.06
2,2023-06-08 13:45 EST,2023-06-08 14:40 EST,1.07778,1.07826,12,60,4.8,12.5,0.5,2.23,6.59,15.23
