box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-03-08 00:35 EST,2024-03-08 01:50 EST,1.09442,1.09492,16,80,5.0,16.0,1.4,2.28,4.92,20.52
2,2024-03-08 06:40 EST,2024-03-08 07:55 EST,1.09281,1.09352,16,80,7.1,11.27,1.2,2.15,9.73,15.37
