sample,box,status,note,box_start_new_york,box_end_new_york,box_range_pips,entry_rule,stop_r,target_r,target_mode,trade_status,direction,signal_time_new_york,signal_minutes_after_box,entry_price,box_break_buffer_pips,stop_price,target_price,risk_pips,reward_pips,outcome,exit_time_new_york,exit_price,gross_pips,net_pips,net_r_vs_box,net_risk_r,spread_pips_round_turn
51,3,accepted,user said fine,2024-02-07 19:30 EST,2024-02-07 20:25 EST,3.9,first_close_breakout,1.75,1.0,entry_r,filled,long,2024-02-07 21:00 EST,35.0,1.07814,0.5,1.07746,1.07853,6.82,3.9,time_exit,2024-02-07 22:25 EST,1.07849,3.5,2.3,0.59,0.337,1.2
51,4,accepted,user said fine,2024-02-07 23:50 EST,2024-02-08 00:20 EST,4.4,first_close_breakout,1.75,1.0,entry_r,no_signal,,,,,,,,,,,,,,,,,
52,1,accepted,good,2024-11-26 02:15 EST,2024-11-26 02:40 EST,12.4,first_close_breakout,1.75,1.0,entry_r,filled,short,2024-11-26 03:10 EST,30.0,1.04719,1.24,1.04936,1.04595,21.7,12.4,stop,2024-11-26 03:50 EST,1.04936,-21.7,-22.9,-1.847,-1.055,1.2
52,2,accepted,good,2024-11-26 05:20 EST,2024-11-26 06:15 EST,11.9,first_close_breakout,1.75,1.0,entry_r,filled,short,2024-11-26 06:20 EST,5.0,1.05054,1.19,1.05262,1.04935,20.82,11.9,stop,2024-11-26 07:15 EST,1.05262,-20.82,-22.02,-1.851,-1.058,1.2
52,4,accepted,good,2024-11-26 12:15 EST,2024-11-26 13:10 EST,10.3,first_close_breakout,1.75,1.0,entry_r,filled,short,2024-11-26 13:25 EST,15.0,1.0462,1.03,1.048,1.04517,18.03,10.3,time_exit,2024-11-26 14:00 EST,1.0471,-9.0,-10.2,-0.99,-0.566,1.2
53,1,accepted,correct,2025-06-24 22:50 EST,2025-06-24 23:40 EST,5.7,first_close_breakout,1.75,1.0,entry_r,filled,short,2025-06-24 23:45 EST,5.0,1.16163,0.57,1.16263,1.16106,9.97,5.7,target,2025-06-25 01:20 EST,1.16106,5.7,4.5,0.789,0.451,1.2
53,2,accepted,correct,2025-06-25 00:15 EST,2025-06-25 01:10 EST,6.1,first_close_breakout,1.75,1.0,entry_r,filled,short,2025-06-25 01:20 EST,10.0,1.1611,0.61,1.16217,1.16049,10.67,6.1,stop,2025-06-25 02:25 EST,1.16217,-10.67,-11.87,-1.947,-1.112,1.2
53,4,accepted,correct,2025-06-25 07:40 EST,2025-06-25 08:20 EST,8.6,first_close_breakout,1.75,1.0,entry_r,filled,short,2025-06-25 08:25 EST,5.0,1.15957,0.86,1.16108,1.15871,15.05,8.6,time_exit,2025-06-25 09:45 EST,1.15999,-4.2,-5.4,-0.628,-0.359,1.2
54,1,accepted,all correct,2024-02-07 05:40 EST,2024-02-07 06:20 EST,8.5,first_close_breakout,1.75,1.0,entry_r,filled,long,2024-02-07 06:30 EST,10.0,1.07722,0.85,1.07573,1.07807,14.88,8.5,time_exit,2024-02-07 08:20 EST,1.0779,6.8,5.6,0.659,0.376,1.2
54,2,accepted,all correct,2024-02-07 06:40 EST,2024-02-07 07:35 EST,8.0,first_close_breakout,1.75,1.0,entry_r,filled,long,2024-02-07 08:00 EST,25.0,1.0776,0.8,1.0762,1.0784,14.0,8.0,target,2024-02-07 08:30 EST,1.0784,8.0,6.8,0.85,0.486,1.2
54,3,accepted,all correct,2024-02-07 12:10 EST,2024-02-07 12:55 EST,6.4,first_close_breakout,1.75,1.0,entry_r,filled,long,2024-02-07 13:05 EST,10.0,1.07689,0.64,1.07577,1.07753,11.2,6.4,target,2024-02-07 14:40 EST,1.07753,6.4,5.2,0.812,0.464,1.2
54,4,accepted,all correct,2024-02-07 14:00 EST,2024-02-07 14:55 EST,5.4,first_close_breakout,1.75,1.0,entry_r,no_signal,,,,,,,,,,,,,,,,,
55,1,questionable,questionable confidence downgrade,2021-09-30 13:40 EST,2021-09-30 14:30 EST,9.0,first_close_breakout,1.75,1.0,entry_r,filled,long,2021-09-30 14:35 EST,5.0,1.15738,0.9,1.15581,1.15828,15.75,9.0,target,2021-09-30 14:55 EST,1.15828,9.0,7.8,0.867,0.495,1.2
55,2,accepted,correct,2021-09-30 17:20 EST,2021-09-30 18:15 EST,4.8,first_close_breakout,1.75,1.0,entry_r,filled,short,2021-09-30 19:10 EST,55.0,1.1578,0.5,1.15864,1.15732,8.4,4.8,target,2021-09-30 19:50 EST,1.15732,4.8,3.6,0.75,0.429,1.2
55,3,accepted,correct,2021-09-30 19:30 EST,2021-09-30 20:25 EST,7.6,first_close_breakout,1.75,1.0,entry_r,filled,short,2021-09-30 20:45 EST,20.0,1.15688,0.76,1.15821,1.15612,13.3,7.6,time_exit,2021-09-30 22:25 EST,1.15768,-8.0,-9.2,-1.211,-0.692,1.2
55,4,accepted,correct,2021-09-30 21:55 EST,2021-09-30 22:50 EST,7.6,first_close_breakout,1.75,1.0,entry_r,no_signal,,,,,,,,,,,,,,,,,
56,1,accepted,correct,2022-08-28 23:15 EST,2022-08-29 00:10 EST,6.6,first_close_breakout,1.75,1.0,entry_r,filled,short,2022-08-29 00:30 EST,20.0,0.99184,0.66,0.993,0.99118,11.55,6.6,stop,2022-08-29 02:05 EST,0.993,-11.55,-12.75,-1.932,-1.104,1.2
56,2,accepted,correct,2022-08-29 00:35 EST,2022-08-29 01:20 EST,6.3,first_close_breakout,1.75,1.0,entry_r,filled,long,2022-08-29 01:50 EST,30.0,0.99228,0.63,0.99118,0.99291,11.03,6.3,target,2022-08-29 02:05 EST,0.99291,6.3,5.1,0.81,0.463,1.2
56,3,accepted,missed marginal shelf around 0400,2022-08-29 03:35 EST,2022-08-29 04:05 EST,12.0,first_close_breakout,1.75,1.0,entry_r,filled,short,2022-08-29 04:10 EST,5.0,0.99276,1.2,0.99486,0.99156,21.0,12.0,stop,2022-08-29 05:10 EST,0.99486,-21.0,-22.2,-1.85,-1.057,1.2
57,1,accepted,all correct,2021-12-27 00:35 EST,2021-12-27 01:30 EST,4.1,first_close_breakout,1.75,1.0,entry_r,filled,long,2021-12-27 01:35 EST,5.0,1.13186,0.5,1.13114,1.13227,7.17,4.1,target,2021-12-27 02:30 EST,1.13227,4.1,2.9,0.707,0.404,1.2
57,2,accepted,all correct,2021-12-27 01:50 EST,2021-12-27 02:20 EST,4.2,first_close_breakout,1.75,1.0,entry_r,filled,long,2021-12-27 02:25 EST,5.0,1.13224,0.5,1.1315,1.13266,7.35,4.2,target,2021-12-27 02:40 EST,1.13266,4.2,3.0,0.714,0.408,1.2
57,3,accepted,all correct,2021-12-27 04:10 EST,2021-12-27 04:50 EST,6.7,first_close_breakout,1.75,1.0,entry_r,filled,long,2021-12-27 05:05 EST,15.0,1.13166,0.67,1.13049,1.13233,11.73,6.7,time_exit,2021-12-27 06:50 EST,1.13166,0.0,-1.2,-0.179,-0.102,1.2
57,4,accepted,all correct,2021-12-27 08:10 EST,2021-12-27 09:00 EST,5.3,first_close_breakout,1.75,1.0,entry_r,filled,long,2021-12-27 09:15 EST,15.0,1.13154,0.53,1.13061,1.13207,9.28,5.3,target,2021-12-27 09:30 EST,1.13207,5.3,4.1,0.774,0.442,1.2
