box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-02-02 01:05 EST,2024-02-02 02:05 EST,1.08743,1.08811,13,65,6.8,9.56,0.3,2.49,10.8,13.48
2,2024-02-02 06:20 EST,2024-02-02 07:25 EST,1.08792,1.08852,14,70,6.0,11.67,0.9,1.9,6.63,16.68
