box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-03-15 00:40 EST,2024-03-15 01:55 EST,1.08733,1.08775,16,80,4.2,19.05,1.5,2.0,3.32,22.9
2,2024-03-15 06:40 EST,2024-03-15 07:35 EST,1.0887,1.0892,12,60,5.0,12.0,1.2,1.84,7.53,14.96
