box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2024-02-29 00:10 EST,2024-02-29 01:20 EST,1.08319,1.08371,15,75,5.2,14.42,0.6,2.08,6.87,19.05
2,2024-02-29 01:45 EST,2024-02-29 02:40 EST,1.08302,1.0838,12,60,7.8,7.69,0.3,1.94,12.25,11.39
