timestamp,open,high,low,close,bb_mid,bb_upper,bb_lower,bb_width_pips,timestamp_ny
2024-02-02 05:00:00+00:00,1.08732,1.0874,1.08724,1.08736,1.087322,1.0874746302722147,1.087169369727785,3.052605444295864,2024-02-02 00:00:00-05:00
2024-02-02 05:05:00+00:00,1.08736,1.08748,1.08736,1.08742,1.0873380000000001,1.08755912439937,1.0871168756006302,4.42248798739886,2024-02-02 00:05:00-05:00
2024-02-02 05:10:00+00:00,1.08741,1.08746,1.08733,1.0874,1.0873680000000001,1.0875163778959196,1.0872196221040806,2.9675579183896517,2024-02-02 00:10:00-05:00
2024-02-02 05:15:00+00:00,1.08734,1.08758,1.08734,1.08756,1.087412,1.0877383372488678,1.0870856627511323,6.526744977355392,2024-02-02 00:15:00-05:00
2024-02-02 05:20:00+00:00,1.08756,1.08774,1.08752,1.08772,1.0874920000000001,1.0880216942514322,1.086962305748568,10.593885028642447,2024-02-02 00:20:00-05:00
2024-02-02 05:25:00+00:00,1.0877,1.0878,1.08765,1.08771,1.087562,1.088108347874528,1.087015652125472,10.926957490560163,2024-02-02 00:25:00-05:00
2024-02-02 05:30:00+00:00,1.0877,1.08792,1.0877,1.0879,1.087658,1.0883303808444647,1.0869856191555354,13.447616889292746,2024-02-02 00:30:00-05:00
2024-02-02 05:35:00+00:00,1.08788,1.08804,1.0878,1.088,1.087778,1.0883968505473895,1.0871591494526103,12.377010947792755,2024-02-02 00:35:00-05:00
2024-02-02 05:40:00+00:00,1.08799,1.08816,1.08794,1.08808,1.087882,1.0884733509956073,1.0872906490043928,11.827019912145076,2024-02-02 00:40:00-05:00
2024-02-02 05:45:00+00:00,1.08802,1.08828,1.08802,1.08818,1.087974,1.0886177887852448,1.0873302112147551,12.875775704896952,2024-02-02 00:45:00-05:00
2024-02-02 05:50:00+00:00,1.08817,1.08817,1.08801,1.08803,1.088038,1.0884066949959084,1.0876693050040918,7.37389991816606,2024-02-02 00:50:00-05:00
2024-02-02 05:55:00+00:00,1.088,1.088,1.08773,1.08774,1.088006,1.0885914775828396,1.0874205224171605,11.709551656791106,2024-02-02 00:55:00-05:00
2024-02-02 06:00:00+00:00,1.08776,1.08782,1.08766,1.0878,1.087966,1.0886389517070392,1.0872930482929608,13.459034140783643,2024-02-02 01:00:00-05:00
2024-02-02 06:05:00+00:00,1.08782,1.0881,1.08778,1.08808,1.0879660000000002,1.0886389517070394,1.087293048292961,13.459034140783643,2024-02-02 01:05:00-05:00
2024-02-02 06:10:00+00:00,1.08802,1.08811,1.088,1.08805,1.0879400000000001,1.0885039858154304,1.0873760141845699,11.279716308605359,2024-02-02 01:10:00-05:00
2024-02-02 06:15:00+00:00,1.08804,1.08804,1.08782,1.08787,1.087908,1.0884478666502073,1.0873681333497929,10.797333004144427,2024-02-02 01:15:00-05:00
2024-02-02 06:20:00+00:00,1.08788,1.08794,1.08762,1.08777,1.087914,1.0884253746180699,1.0874026253819302,10.227492361396529,2024-02-02 01:20:00-05:00
2024-02-02 06:25:00+00:00,1.08775,1.08799,1.08775,1.08792,1.0879379999999998,1.0883971470352802,1.0874788529647195,9.182940705607656,2024-02-02 01:25:00-05:00
2024-02-02 06:30:00+00:00,1.08794,1.08803,1.0879,1.0879,1.087902,1.0882627991130893,1.0875412008869105,7.215982261787879,2024-02-02 01:30:00-05:00
2024-02-02 06:35:00+00:00,1.0879,1.08799,1.08787,1.08788,1.0878679999999998,1.0880756920797852,1.0876603079202145,4.153841595706531,2024-02-02 01:35:00-05:00
2024-02-02 06:40:00+00:00,1.0879,1.08793,1.08776,1.0879,1.087874,1.0880880654105776,1.0876599345894225,4.281308211551149,2024-02-02 01:40:00-05:00
2024-02-02 06:45:00+00:00,1.0879,1.08803,1.08759,1.0876,1.08784,1.0883226593001332,1.0873573406998667,9.65318600266496,2024-02-02 01:45:00-05:00
2024-02-02 06:50:00+00:00,1.0876,1.0877,1.08746,1.0875,1.0877560000000002,1.0884412036193747,1.0870707963806256,13.704072387490385,2024-02-02 01:50:00-05:00
2024-02-02 06:55:00+00:00,1.08748,1.08766,1.08743,1.08758,1.087692,1.0883528600457002,1.0870311399543,13.217200914001914,2024-02-02 01:55:00-05:00
2024-02-02 07:00:00+00:00,1.0875,1.0881,1.08744,1.08806,1.0877279999999998,1.0885860536113807,1.086869946388619,17.161072227618313,2024-02-02 02:00:00-05:00
2024-02-02 07:05:00+00:00,1.08805,1.0881,1.08782,1.08785,1.0877180000000002,1.0885472261452727,1.0868887738547277,16.58452290544954,2024-02-02 02:05:00-05:00
2024-02-02 07:10:00+00:00,1.08782,1.08837,1.0878,1.08837,1.0878720000000002,1.0891463374749286,1.0865976625250717,25.486749498568884,2024-02-02 02:10:00-05:00
2024-02-02 07:15:00+00:00,1.08837,1.08844,1.08822,1.08841,1.088054,1.0893099235645576,1.0867980764354426,25.11847129115008,2024-02-02 02:15:00-05:00
2024-02-02 07:20:00+00:00,1.08838,1.08871,1.08834,1.08865,1.088268,1.0893915372713063,1.0871444627286937,22.47074542612637,2024-02-02 02:20:00-05:00
2024-02-02 07:25:00+00:00,1.08864,1.08871,1.08804,1.08804,1.0882640000000001,1.0893997746255375,1.0871282253744627,22.71549251074756,2024-02-02 02:25:00-05:00
2024-02-02 07:30:00+00:00,1.08806,1.08853,1.088,1.08849,1.088392,1.0891937580682585,1.0875902419317416,16.035161365168804,2024-02-02 02:30:00-05:00
2024-02-02 07:35:00+00:00,1.0885,1.08857,1.08818,1.08825,1.088368,1.0892026112867776,1.0875333887132224,16.692225735552846,2024-02-02 02:35:00-05:00
2024-02-02 07:40:00+00:00,1.08824,1.08842,1.08804,1.08824,1.0883340000000001,1.0891853894526102,1.08748261054739,17.027789052201925,2024-02-02 02:40:00-05:00
2024-02-02 07:45:00+00:00,1.0883,1.08836,1.08813,1.08822,1.088248,1.0888212154917778,1.0876747845082224,11.464309835553799,2024-02-02 02:45:00-05:00
2024-02-02 07:50:00+00:00,1.08824,1.08836,1.0879,1.08802,1.088244,1.0888408450385265,1.0876471549614735,11.936900770530556,2024-02-02 02:50:00-05:00
2024-02-02 07:55:00+00:00,1.08802,1.08831,1.08778,1.0881,1.088166,1.088528745089576,1.087803254910424,7.2549017915202185,2024-02-02 02:55:00-05:00
2024-02-02 08:00:00+00:00,1.08811,1.08845,1.088,1.0881,1.088136,1.0884654601645278,1.0878065398354722,6.589203290556789,2024-02-02 03:00:00-05:00
2024-02-02 08:05:00+00:00,1.08811,1.0885,1.08804,1.08844,1.088176,1.0887625696889645,1.0875894303110356,11.731393779288446,2024-02-02 03:05:00-05:00
