box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,bb_width_median
1,2024-02-02 00:35 EST,2024-02-02 01:40 EST,1.08762,1.08828,14,70,6.6,10.61,0.2,11.04
2,2024-02-02 02:20 EST,2024-02-02 03:05 EST,1.08778,1.08871,10,50,9.3,5.38,0.6,13.99
