timestamp,open,high,low,close,bb_mid,bb_upper,bb_lower,bb_width_pips
2024-02-29 10:05:00+00:00,1.08519,1.08538,1.08511,1.08511,1.0851020000000002,1.085298611291604,1.0849053887083964,3.9322258320773074
2024-02-29 10:10:00+00:00,1.08513,1.0854,1.08497,1.08532,1.085158,1.0855161284685497,1.0847998715314504,7.162569370993133
2024-02-29 10:15:00+00:00,1.08534,1.08536,1.08521,1.08529,1.085192,1.085593118436357,1.084790881563643,8.022368727140794
2024-02-29 10:20:00+00:00,1.08528,1.08544,1.08498,1.08504,1.085188,1.085610866409148,1.0847651335908521,8.45732818295808
2024-02-29 10:25:00+00:00,1.08504,1.0851,1.0848,1.08484,1.08512,1.0858215411605787,1.0844184588394215,14.030823211572674
2024-02-29 10:30:00+00:00,1.08482,1.08502,1.08472,1.08475,1.085048,1.0859683129902304,1.0841276870097696,18.406259804608638
2024-02-29 10:35:00+00:00,1.08476,1.08476,1.08414,1.08444,1.084872,1.0860110943771213,1.0837329056228788,22.781887542424606
2024-02-29 10:40:00+00:00,1.08442,1.08457,1.08427,1.0843,1.0846740000000001,1.0857501709901274,1.083597829009873,21.523419802544907
2024-02-29 10:45:00+00:00,1.08427,1.08439,1.08416,1.08439,1.0845440000000002,1.0853908671678565,1.0836971328321439,16.937343357126267
2024-02-29 10:50:00+00:00,1.0844,1.08447,1.08407,1.08412,1.0844,1.085224815130799,1.083575184869201,16.49630261598034
2024-02-29 10:55:00+00:00,1.08411,1.08411,1.08376,1.0838,1.0842100000000001,1.0851388272175155,1.0832811727824847,18.57654435030831
2024-02-29 11:00:00+00:00,1.08376,1.08395,1.08368,1.0838,1.084082,1.0850664876840264,1.0830975123159736,19.68975368052739
2024-02-29 11:05:00+00:00,1.0838,1.0841,1.08375,1.0841,1.084042,1.084932267375568,1.083151732624432,17.805347511359315
2024-02-29 11:10:00+00:00,1.08414,1.08422,1.08394,1.08404,1.083972,1.0845435382751853,1.0834004617248145,11.430765503708251
2024-02-29 11:15:00+00:00,1.08406,1.08412,1.08394,1.0841,1.083968,1.0845236401713358,1.0834123598286642,11.112803426716056
2024-02-29 11:20:00+00:00,1.08413,1.0843,1.08406,1.0842,1.0840480000000001,1.0845848947755388,1.0835111052244615,10.737895510772866
2024-02-29 11:25:00+00:00,1.08418,1.0843,1.08368,1.08368,1.084024,1.0847420417815152,1.083305958218485,14.36083563030266
2024-02-29 11:30:00+00:00,1.08366,1.08377,1.08345,1.08349,1.083902,1.0849843382096198,1.08281966179038,21.64676419239786
2024-02-29 11:35:00+00:00,1.08348,1.0835,1.08319,1.08331,1.083756,1.0851311159951096,1.0823808840048903,27.502319902192873
2024-02-29 11:40:00+00:00,1.08332,1.08346,1.08291,1.08295,1.083526,1.0851827148215702,1.0818692851784297,33.1342964314052
2024-02-29 11:45:00+00:00,1.08294,1.08332,1.08292,1.08328,1.083342,1.084313069513482,1.0823709304865181,19.421390269638295
2024-02-29 11:50:00+00:00,1.08329,1.08348,1.08328,1.08342,1.0832900000000003,1.08403404300952,1.0825459569904805,14.880860190396028
2024-02-29 11:55:00+00:00,1.08341,1.08368,1.08332,1.08342,1.0832760000000001,1.083966321664165,1.0825856783358352,13.80643328329878
2024-02-29 12:00:00+00:00,1.08344,1.08359,1.08324,1.08346,1.083306,1.0840588505827953,1.082553149417205,15.057011655903452
2024-02-29 12:05:00+00:00,1.08344,1.08353,1.08328,1.0833,1.083376,1.0836640000000233,1.0830879999999765,5.760000000467613
2024-02-29 12:10:00+00:00,1.08332,1.08335,1.08268,1.08272,1.083264,1.084372974300882,1.082155025699118,22.179486017641636
2024-02-29 12:15:00+00:00,1.08272,1.08308,1.08272,1.08289,1.083158,1.0843495435367707,1.0819664564632294,23.8308707354129
2024-02-29 12:20:00+00:00,1.08288,1.08298,1.0827,1.08276,1.0830259999999998,1.084221083260707,1.0818309167392925,23.901665214145495
2024-02-29 12:25:00+00:00,1.08274,1.08298,1.08268,1.08291,1.0829159999999998,1.0837375497550512,1.0820944502449483,16.430995101028856
2024-02-29 12:30:00+00:00,1.08288,1.08324,1.08285,1.08322,1.0829,1.083603363348509,1.082196636651491,14.067266970179126
2024-02-29 12:35:00+00:00,1.08323,1.08332,1.08294,1.08301,1.082958,1.0835711362002234,1.0823448637997768,12.26272400446593
2024-02-29 12:40:00+00:00,1.083,1.08309,1.08289,1.08294,1.082968,1.0835684798081733,1.0823675201918266,12.009596163466973
2024-02-29 12:45:00+00:00,1.08292,1.083,1.08274,1.08281,1.082978,1.0835261021802762,1.0824298978197238,10.962043605524663
2024-02-29 12:50:00+00:00,1.08284,1.08301,1.08276,1.08281,1.082958,1.0835658947277482,1.082350105272252,12.157894554962745
2024-02-29 12:55:00+00:00,1.0828,1.0831,1.0828,1.0829,1.082894,1.0832023893643197,1.0825856106356804,6.167787286393001
2024-02-29 13:00:00+00:00,1.08292,1.08292,1.0822,1.08236,1.082764,1.083597153047182,1.0819308469528182,16.66306094363801
2024-02-29 13:05:00+00:00,1.08237,1.0826,1.08224,1.08255,1.082686,1.0834886356583346,1.0818833643416654,16.0527131666921
2024-02-29 13:10:00+00:00,1.08254,1.08264,1.08235,1.08255,1.082634,1.083415629068057,1.0818523709319432,15.632581361137987
2024-02-29 13:15:00+00:00,1.08258,1.08292,1.08258,1.08288,1.082648,1.0834860548908225,1.0818099451091776,16.761097816448967
2024-02-29 13:20:00+00:00,1.0829,1.08322,1.0829,1.08312,1.0826920000000002,1.083778764003835,1.0816052359961654,21.735280076695673
2024-02-29 13:25:00+00:00,1.08314,1.08314,1.08279,1.08298,1.082816,1.083736730145064,1.081895269854936,18.41460290127994
2024-02-29 13:30:00+00:00,1.08298,1.08468,1.0829,1.08341,1.082988,1.0841180690244523,1.0818579309755478,22.601380489044587
2024-02-29 13:35:00+00:00,1.08339,1.08385,1.08298,1.08314,1.0831060000000001,1.0838231499146094,1.0823888500853909,14.342998292184994
2024-02-29 13:40:00+00:00,1.08315,1.08377,1.08285,1.08368,1.083266,1.0842637895569815,1.0822682104430186,19.955791139629753
2024-02-29 13:45:00+00:00,1.08369,1.084,1.08336,1.0839,1.0834219999999999,1.0847726502137929,1.082071349786207,27.013004275859842
2024-02-29 13:50:00+00:00,1.08391,1.0841,1.08346,1.08354,1.083534,1.0845552462974313,1.0825127537025687,20.42492594862555
2024-02-29 13:55:00+00:00,1.08353,1.08398,1.0835,1.08379,1.08361,1.0846640588218956,1.0825559411781043,21.08117643791374
2024-02-29 14:00:00+00:00,1.08377,1.0841,1.08365,1.08409,1.0838,1.0845508928019454,1.0830491071980548,15.017856038905819
2024-02-29 14:05:00+00:00,1.0841,1.08425,1.08389,1.0841,1.083884,1.0847163845265333,1.0830516154734668,16.647690530664505
2024-02-29 14:10:00+00:00,1.0841,1.08484,1.0841,1.0846,1.084024,1.08544489549229,1.0826031045077102,28.417909845797062
2024-02-29 14:15:00+00:00,1.08458,1.08478,1.08438,1.08456,1.084228,1.0854620243109458,1.082993975689054,24.680486218917608
2024-02-29 14:20:00+00:00,1.08455,1.08482,1.08454,1.08458,1.0843859999999999,1.085337831917936,1.0834341680820636,19.036638358724822
2024-02-29 14:25:00+00:00,1.08456,1.08471,1.0843,1.08431,1.08443,1.0852130197954082,1.0836469802045918,15.660395908163594
2024-02-29 14:30:00+00:00,1.0843,1.0844,1.08414,1.08426,1.0844619999999998,1.0850457259631028,1.0838782740368968,11.674519262059313
2024-02-29 14:35:00+00:00,1.08427,1.08434,1.08368,1.08394,1.08433,1.0852643232845238,1.0833956767154762,18.68646569047616
2024-02-29 14:40:00+00:00,1.08396,1.08453,1.0839,1.08436,1.08429,1.0851152030053293,1.0834647969946707,16.504060106585783
2024-02-29 14:45:00+00:00,1.08437,1.08478,1.08437,1.0846,1.084294,1.0851420000000027,1.0834459999999975,16.96000000005249
2024-02-29 14:50:00+00:00,1.08462,1.08481,1.0845,1.08451,1.084334,1.085251596861374,1.0834164031386257,18.351937227483184
2024-02-29 14:55:00+00:00,1.08453,1.08504,1.0845,1.08468,1.084418,1.0854642580943545,1.0833717419056457,20.925161887088706
2024-02-29 15:00:00+00:00,1.08467,1.0856,1.08467,1.08519,1.0846680000000002,1.085795233782318,1.0835407662176824,22.544675646356538
2024-02-29 15:05:00+00:00,1.0852,1.0856,1.08486,1.0851,1.084816,1.0859177368106752,1.0837142631893248,22.03473621350316
2024-02-29 15:10:00+00:00,1.08509,1.0851,1.08478,1.085,1.084896,1.0859306323018327,1.0838613676981674,20.692646036652995
2024-02-29 15:15:00+00:00,1.08499,1.085,1.08454,1.08461,1.0849160000000002,1.0858374249833793,1.083994575016621,18.428499667582088
2024-02-29 15:20:00+00:00,1.08462,1.08498,1.08458,1.08468,1.084916,1.085837424983379,1.0839945750166209,18.428499667582088
2024-02-29 15:25:00+00:00,1.0847,1.0848,1.08426,1.08438,1.084754,1.0858067221855723,1.0837012778144277,21.054443711445714
2024-02-29 15:30:00+00:00,1.08438,1.08444,1.08353,1.0838,1.084494,1.0860927194875896,1.0828952805124106,31.9743897517899
2024-02-29 15:35:00+00:00,1.0838,1.0839,1.08353,1.08375,1.084244,1.0858276363218873,1.0826603636781127,31.67272643774588
2024-02-29 15:40:00+00:00,1.08376,1.0839,1.0833,1.08331,1.0839839999999998,1.085930582646589,1.0820374173534106,38.93165293178402
2024-02-29 15:45:00+00:00,1.0833,1.0833,1.08289,1.08303,1.083654,1.085500354245535,1.0818076457544648,36.927084910702845
2024-02-29 15:50:00+00:00,1.08304,1.08306,1.08202,1.08206,1.0831899999999999,1.0857214659784422,1.0806585340215575,50.62931956884675
2024-02-29 15:55:00+00:00,1.08207,1.08248,1.0819,1.08226,1.0828820000000001,1.08542511934443,1.0803388806555703,50.86238688859712
2024-02-29 16:00:00+00:00,1.08226,1.08252,1.08186,1.08208,1.0825479999999998,1.084628830603393,1.0804671693966066,41.616612067865155
2024-02-29 16:05:00+00:00,1.0821,1.08223,1.08166,1.08184,1.082254,1.0838949948202297,1.0806130051797704,32.819896404592264
2024-02-29 16:10:00+00:00,1.08183,1.08194,1.08146,1.08156,1.08196,1.082921332408703,1.080998667591297,19.226648174059946
2024-02-29 16:15:00+00:00,1.08155,1.08158,1.08109,1.08128,1.081804,1.0832120000000085,1.0803959999999915,28.16000000017027
2024-02-29 16:20:00+00:00,1.08128,1.08133,1.08062,1.08096,1.081544,1.0831298574967587,1.0799581425032414,31.71714993517316
2024-02-29 16:25:00+00:00,1.08095,1.08126,1.08088,1.08092,1.081312,1.082719272539357,1.079904727460643,28.14545078714037
2024-02-29 16:30:00+00:00,1.08089,1.08118,1.08087,1.08112,1.0811680000000001,1.082103144908573,1.0802328550914273,18.70289817145654
2024-02-29 16:35:00+00:00,1.08109,1.08133,1.08092,1.08104,1.081064,1.0815760000000292,1.0805519999999709,10.240000000583116
2024-02-29 16:40:00+00:00,1.08105,1.08105,1.08046,1.08053,1.0809140000000002,1.081729686214197,1.0800983137858033,16.313724283936182
2024-02-29 16:45:00+00:00,1.0805,1.08088,1.0805,1.08084,1.0808900000000001,1.0817066272099503,1.08007337279005,16.33254419900254
2024-02-29 16:50:00+00:00,1.08081,1.08104,1.0807,1.08087,1.08088,1.0816946655755775,1.0800653344244227,16.293311511548225
2024-02-29 16:55:00+00:00,1.08084,1.08097,1.08055,1.08063,1.080782,1.0815070489638852,1.0800569510361147,14.500979277705106
2024-02-29 17:00:00+00:00,1.08064,1.08074,1.08038,1.08064,1.080702,1.081226228957643,1.080177771042357,10.484579152860718
2024-02-29 17:05:00+00:00,1.08064,1.0807,1.08044,1.08046,1.0806879999999999,1.0812916687833833,1.0800843312166164,12.073375667669417
2024-02-29 17:10:00+00:00,1.08047,1.08048,1.08024,1.08047,1.080614,1.0812097717684082,1.0800182282315918,11.915435368163863
2024-02-29 17:15:00+00:00,1.08048,1.08056,1.07999,1.08006,1.080452,1.081293104036391,1.079610895963609,16.822080727818545
2024-02-29 17:20:00+00:00,1.08004,1.08019,1.08004,1.08011,1.080348,1.0812464965219932,1.079449503478007,17.969930439862836
2024-02-29 17:25:00+00:00,1.0801,1.08011,1.07979,1.0799,1.0802,1.0811089774474836,1.0792910225525165,18.179548949670554
2024-02-29 17:30:00+00:00,1.07988,1.07991,1.0796,1.07966,1.08004,1.081104631391625,1.0789753686083747,21.292627832503186
2024-02-29 17:35:00+00:00,1.07965,1.07991,1.0796,1.07986,1.079918,1.0805561974616325,1.0792798025383674,12.76394923265034
2024-02-29 17:40:00+00:00,1.07986,1.07994,1.07973,1.07973,1.0798520000000003,1.0804734306075778,1.0792305693924227,12.428612151551555
2024-02-29 17:45:00+00:00,1.07974,1.07994,1.07962,1.07977,1.079784,1.0801314248120597,1.0794365751879405,6.948496241192537
2024-02-29 17:50:00+00:00,1.07976,1.0801,1.07972,1.08004,1.079812,1.080336228957646,1.079287771042354,10.48457915291845
