label,start_new_york,end_new_york,low,high,bars,range_pips,bb_width_median
A,2024-02-06 02:25 EST,2024-02-06 03:25 EST,1.07518,1.07603,13,8.500000000000174,13.735792659739232
B,2024-02-06 05:10 EST,2024-02-06 06:15 EST,1.07244,1.07366,14,12.199999999999989,12.760505737052785
C,2024-02-06 08:20 EST,2024-02-06 09:15 EST,1.07281,1.07382,12,10.099999999999554,19.698315394203192
D,2024-02-06 10:20 EST,2024-02-06 11:10 EST,1.07392,1.07485,11,9.300000000000974,12.170521763961162
E,2024-02-06 11:45 EST,2024-02-06 13:05 EST,1.07478,1.07556,17,7.800000000000029,12.523002834914363
