box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2021-06-10 01:10 EST,2021-06-10 01:50 EST,1.2164,1.21682,9,45,4.2,10.71,0.4,1.19,6.02,16.32
2,2021-06-10 04:45 EST,2021-06-10 05:40 EST,1.21648,1.21723,12,60,7.5,8.0,0.4,2.73,12.52,11.4
