box,start_new_york,end_new_york,low,high,bars,duration_min,range_pips,aspect_min_per_pip,progress_pips,travel_ratio,bb_width_median,score
1,2023-03-23 01:25 EST,2023-03-23 02:10 EST,1.09035,1.09122,10,50,8.7,5.75,4.4,2.08,12.49,9.28
2,2023-03-23 06:45 EST,2023-03-23 07:35 EST,1.08697,1.08807,11,55,11.0,5.0,0.6,2.16,16.94,9.98
